Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
1,1004535010,DREAM HOME REALTY,TORRANCE,CA,90505,CALIFORNIA BANK & TRUST,CA,531210,15130,2001,56,1,1.0,0,0,1,0,Y,N,,15978.0,30000,0,P I F,0,30000,15000,0,0,0.5,1,1680,17658.0,0
1,1005535001,Shiva Management,SAN DIEGO,CA,92108,CALIFORNIA BANK & TRUST,CA,531312,15719,2003,36,6,1.0,0,0,1,0,Y,N,,15736.0,50000,0,P I F,0,50000,25000,0,0,0.5,0,1080,16816.0,0
1,1005996006,"GOLD CROWN HOME LOANS, INC",LOS ANGELES,CA,91345,SBA - EDF ENFORCEMENT ACTION,CO,531390,16840,2006,240,65,1.0,3,65,1,1,0,N,,16903.0,343000,0,P I F,0,343000,343000,0,1,1.0,0,7200,24103.0,0
1,1006295003,Ronald Lee Roberts,SACRAMENTO,CA,95831,CALIFORNIA BANK & TRUST,CA,531210,15813,2003,84,1,1.0,0,0,1,0,Y,N,,15825.0,55825,0,P I F,0,50000,25000,0,0,0.5,0,2520,18345.0,0
1,1022515008,"AMR Appraisals, Inc.",SAN RAMON,CA,94583,BANK OF AMERICA NATL ASSOC,NC,531320,16264,2004,84,4,2.0,0,0,1,1,Y,N,,16314.0,17500,0,P I F,0,10000,5000,1,0,0.5,0,2520,18834.0,0
1,1030805001,Global Parties Inc. dba Party,THOUSAND OAKS,CA,91360,BANK OF AMERICA NATL ASSOC,NC,532299,16281,2004,64,6,1.0,0,0,1,1,Y,N,16947.0,16314.0,50000,0,CHGOFF,47211,50000,25000,0,0,0.5,0,1920,18234.0,1
1,1033135007,Mitchell J Kemp dba Pacific Co,SAN FRANCISCO,CA,94103,BANK OF AMERICA NATL ASSOC,NC,531312,16286,2004,84,1,1.0,0,0,1,1,Y,N,,16314.0,17536,0,P I F,0,14000,7000,0,0,0.5,0,2520,18834.0,0
1,1038956001,SMOOTH AS SATIN ENTERPRISES IN,VALENCIA,CA,91354,JPMORGAN CHASE BANK NATL ASSOC,IL,531210,16846,2006,76,2,2.0,0,2,1,2,Y,N,17197.0,16921.0,30000,0,CHGOFF,29700,30000,15000,1,0,0.5,0,2280,19201.0,1
1,1039435004,GIUSEPPE & GRAZIA PENNISI DBA,BUTTE VALLEY,CA,95965,BANK OF AMERICA NATL ASSOC,NC,531312,16295,2004,60,8,1.0,0,0,1,1,Y,N,,16314.0,30502,0,P I F,0,30000,15000,0,0,0.5,0,1800,18114.0,0
1,1040106003,C&C FINANCIAL CORP,BURBANK,CA,91505,WELLS FARGO BANK NATL ASSOC,SD,531210,16847,2006,60,13,2.0,7,20,1,1,Y,N,,17225.0,25000,0,P I F,0,25000,12500,1,0,0.5,0,1800,19025.0,0
