R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
0.00008901	-0.00003664	0.00009629	-0.00003670	0.00022200
0.00008662	-0.00003684	0.00009543	-0.00003691	0.00021896
0.00009020	-0.00003711	0.00009645	-0.00003715	0.00022380
0.00009131	-0.00003908	0.00009800	-0.00003913	0.00022844
0.00009175	-0.00003981	0.00010161	-0.00003989	0.00023325
0.00009583	-0.00004264	0.00010161	-0.00004267	0.00024011
0.00010306	-0.00004455	0.00011043	-0.00004460	0.00025809
0.00010666	-0.00004817	0.00011595	-0.00004824	0.00027085
0.00011037	-0.00004778	0.00012023	-0.00004785	0.00027845
0.00010968	-0.00004986	0.00012228	-0.00004998	0.00028194
0.00011169	-0.00005080	0.00012087	-0.00005086	0.00028342
0.00010856	-0.00004960	0.00012293	-0.00004976	0.00028124
0.00010913	-0.00005051	0.00012161	-0.00005063	0.00028137
0.00010701	-0.00004943	0.00012184	-0.00004960	0.00027845
0.00010949	-0.00005023	0.00012376	-0.00005038	0.00028363
0.00011029	-0.00005041	0.00012256	-0.00005052	0.00028337
0.00010809	-0.00005076	0.00012248	-0.00005092	0.00028149
0.00011025	-0.00005085	0.00012213	-0.00005095	0.00028334
0.00011181	-0.00004937	0.00012602	-0.00004952	0.00028735
0.00011297	-0.00005242	0.00012785	-0.00005258	0.00029341
0.00011509	-0.00005385	0.00012955	-0.00005400	0.00029864
0.00011933	-0.00005666	0.00013256	-0.00005678	0.00030868
0.00012282	-0.00005892	0.00013809	-0.00005908	0.00031999
0.00012722	-0.00005996	0.00014378	-0.00006013	0.00033114
0.00012980	-0.00006494	0.00014623	-0.00006511	0.00034113
0.00013105	-0.00006195	0.00014760	-0.00006212	0.00034078
0.00013192	-0.00006496	0.00015024	-0.00006517	0.00034732
0.00013371	-0.00006506	0.00015068	-0.00006523	0.00034963
0.00013003	-0.00006491	0.00014975	-0.00006515	0.00034492
0.00013181	-0.00006455	0.00015074	-0.00006477	0.00034732
0.00013173	-0.00006526	0.00014992	-0.00006546	0.00034712
0.00013054	-0.00006493	0.00014858	-0.00006513	0.00034425
0.00013074	-0.00006611	0.00014908	-0.00006632	0.00034614
0.00013080	-0.00006605	0.00014947	-0.00006626	0.00034654
0.00013202	-0.00006667	0.00014970	-0.00006685	0.00034857
0.00013119	-0.00006681	0.00014968	-0.00006701	0.00034789
0.00013095	-0.00006579	0.00015336	-0.00006609	0.00035040
0.00013515	-0.00006872	0.00015561	-0.00006896	0.00035972
0.00013782	-0.00006988	0.00015669	-0.00007009	0.00036459
0.00014101	-0.00007253	0.00016333	-0.00007281	0.00037716
0.00014328	-0.00007408	0.00016501	-0.00007434	0.00038264
0.00014475	-0.00007665	0.00016901	-0.00007697	0.00039072
0.00014787	-0.00007910	0.00017046	-0.00007937	0.00039770
0.00014954	-0.00008107	0.00017254	-0.00008135	0.00040343
0.00014975	-0.00008156	0.00017221	-0.00008182	0.00040378
0.00014881	-0.00008198	0.00017168	-0.00008225	0.00040273
0.00014715	-0.00008287	0.00017135	-0.00008317	0.00040167
0.00014949	-0.00008179	0.00017234	-0.00008206	0.00040389
0.00014937	-0.00008104	0.00017207	-0.00008131	0.00040275
0.00014848	-0.00008118	0.00017371	-0.00008151	0.00040370
0.00014875	-0.00008249	0.00017160	-0.00008276	0.00040311
0.00014694	-0.00008158	0.00017301	-0.00008193	0.00040188
0.00014506	-0.00008022	0.00017249	-0.00008061	0.00039816
0.00014814	-0.00008116	0.00017170	-0.00008145	0.00040128
0.00014738	-0.00008121	0.00017101	-0.00008150	0.00039988
0.00014710	-0.00008225	0.00017225	-0.00008258	0.00040193
0.00014528	-0.00008115	0.00017090	-0.00008150	0.00039768
0.00014792	-0.00008304	0.00017531	-0.00008342	0.00040665
0.00014772	-0.00008195	0.00017236	-0.00008226	0.00040234
0.00014710	-0.00008223	0.00017237	-0.00008256	0.00040202
0.00014704	-0.00008274	0.00017129	-0.00008304	0.00040137
0.00014694	-0.00008390	0.00017158	-0.00008421	0.00040272
0.00014646	-0.00008356	0.00017174	-0.00008389	0.00040208
0.00014585	-0.00008191	0.00017207	-0.00008226	0.00040019
0.00014505	-0.00008366	0.00017173	-0.00008403	0.00040081
0.00014808	-0.00008352	0.00017114	-0.00008379	0.00040301
0.00014988	-0.00008389	0.00017287	-0.00008416	0.00040691
0.00014871	-0.00008279	0.00017201	-0.00008307	0.00040379
0.00014722	-0.00008280	0.00017088	-0.00008309	0.00040119
0.00014659	-0.00008313	0.00017185	-0.00008345	0.00040190
0.00014768	-0.00008474	0.00017184	-0.00008504	0.00040456
0.00014725	-0.00008171	0.00017220	-0.00008203	0.00040148
0.00014642	-0.00008404	0.00017136	-0.00008435	0.00040213
0.00014979	-0.00008310	0.00017174	-0.00008334	0.00040487
0.00014731	-0.00008195	0.00017146	-0.00008225	0.00040101
0.00014669	-0.00008110	0.00017026	-0.00008139	0.00039834
0.00014838	-0.00008170	0.00017190	-0.00008199	0.00040226
0.00014690	-0.00008042	0.00017118	-0.00008073	0.00039881
0.00014724	-0.00008156	0.00017283	-0.00008190	0.00040197
0.00014743	-0.00008343	0.00017110	-0.00008372	0.00040225
0.00014543	-0.00008315	0.00017370	-0.00008357	0.00040270
0.00014645	-0.00008299	0.00017145	-0.00008331	0.00040122
0.00014661	-0.00008309	0.00016935	-0.00008336	0.00039931
0.00014651	-0.00008352	0.00017217	-0.00008386	0.00040254
0.00014559	-0.00008331	0.00017145	-0.00008365	0.00040070
0.00014669	-0.00007976	0.00017272	-0.00008011	0.00039952
0.00014674	-0.00008378	0.00017177	-0.00008411	0.00040262
0.00014542	-0.00008490	0.00017248	-0.00008527	0.00040317
0.00014508	-0.00008326	0.00017061	-0.00008360	0.00039928
0.00014554	-0.00008216	0.00017242	-0.00008254	0.00040050
0.00014561	-0.00008326	0.00017059	-0.00008358	0.00039978
0.00014601	-0.00008279	0.00017278	-0.00008316	0.00040194
0.00014618	-0.00008187	0.00016952	-0.00008215	0.00039785
0.00014789	-0.00008368	0.00017192	-0.00008398	0.00040379
0.00014807	-0.00008495	0.00017195	-0.00008524	0.00040526
0.00014725	-0.00008298	0.00017165	-0.00008329	0.00040219
0.00014700	-0.00008351	0.00017171	-0.00008382	0.00040253
0.00014750	-0.00008290	0.00017141	-0.00008319	0.00040210
0.00014673	-0.00008373	0.00017092	-0.00008404	0.00040169
0.00014729	-0.00008342	0.00017052	-0.00008370	0.00040150
0.00014881	-0.00008290	0.00017352	-0.00008321	0.00040554
0.00014809	-0.00008150	0.00017124	-0.00008177	0.00040111
0.00014818	-0.00008281	0.00017017	-0.00008305	0.00040140
0.00014741	-0.00008264	0.00017084	-0.00008292	0.00040118
0.00014643	-0.00008232	0.00017293	-0.00008269	0.00040205
0.00014664	-0.00008236	0.00017343	-0.00008273	0.00040281
0.00014651	-0.00008224	0.00017276	-0.00008260	0.00040187
0.00014608	-0.00008066	0.00017165	-0.00008100	0.00039873
0.00014795	-0.00008160	0.00017277	-0.00008192	0.00040264
0.00014636	-0.00008195	0.00017244	-0.00008230	0.00040110
0.00014471	-0.00008281	0.00017180	-0.00008319	0.00039971
0.00014660	-0.00008380	0.00017115	-0.00008411	0.00040186
0.00014700	-0.00008326	0.00017199	-0.00008358	0.00040257
0.00014726	-0.00008255	0.00017192	-0.00008286	0.00040204
0.00014659	-0.00008420	0.00017107	-0.00008451	0.00040217
0.00014682	-0.00008425	0.00017019	-0.00008453	0.00040154
0.00014587	-0.00008211	0.00017088	-0.00008244	0.00039919
0.00014714	-0.00008213	0.00017103	-0.00008243	0.00040060
0.00014696	-0.00008362	0.00017105	-0.00008392	0.00040193
0.00014819	-0.00008336	0.00017028	-0.00008361	0.00040208
0.00014535	-0.00008366	0.00016973	-0.00008397	0.00039904
0.00014964	-0.00008081	0.00017089	-0.00008104	0.00040157
0.00014667	-0.00008234	0.00017306	-0.00008269	0.00040243
0.00014759	-0.00008255	0.00017251	-0.00008287	0.00040296
0.00014816	-0.00008029	0.00017314	-0.00008061	0.00040191
0.00014559	-0.00008320	0.00017302	-0.00008358	0.00040219
0.00014602	-0.00007992	0.00017190	-0.00008027	0.00039819
0.00014709	-0.00008289	0.00017183	-0.00008321	0.00040213
0.00014801	-0.00008205	0.00017265	-0.00008236	0.00040302
0.00014919	-0.00008172	0.00017210	-0.00008199	0.00040328
0.00014732	-0.00008188	0.00017200	-0.00008219	0.00040152
0.00014668	-0.00008245	0.00017301	-0.00008281	0.00040250
0.00014825	-0.00008323	0.00017266	-0.00008353	0.00040445
0.00014797	-0.00008061	0.00017287	-0.00008093	0.00040178
0.00014695	-0.00008208	0.00017359	-0.00008244	0.00040298
0.00014694	-0.00008260	0.00017250	-0.00008293	0.00040237
0.00015003	-0.00008070	0.00017179	-0.00008095	0.00040277
0.00014526	-0.00008284	0.00017252	-0.00008322	0.00040100
0.00014762	-0.00008124	0.00017368	-0.00008159	0.00040289
0.00014737	-0.00008144	0.00017143	-0.00008174	0.00040053
0.00014693	-0.00008158	0.00017132	-0.00008188	0.00040013
0.00014853	-0.00008327	0.00017404	-0.00008361	0.00040617
0.00014730	-0.00008062	0.00017208	-0.00008094	0.00040032
0.00014845	-0.00008277	0.00017248	-0.00008307	0.00040400
0.00014826	-0.00008212	0.00017198	-0.00008241	0.00040265
0.00014755	-0.00008072	0.00017235	-0.00008104	0.00040094
